playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP
raineti01,1981,1,MON,NL,88,313,61,95,13,7,5,37,71,11,45,31,5,2,0,3,7,0.391184573
raineti01,1982,1,MON,NL,156,647,90,179,32,8,4,43,78,16,75,83,9,2,6,1,6,0.353103448
raineti01,1983,1,MON,NL,156,615,133,183,32,8,11,71,90,14,97,70,9,2,2,4,12,0.39275766
raineti01,1984,1,MON,NL,160,622,106,192,38,9,8,60,75,10,87,69,7,2,3,4,7,0.393006993
raineti01,1985,1,MON,NL,150,575,115,184,30,13,11,41,70,9,81,60,13,3,3,3,9,0.404833837
raineti01,1986,1,MON,NL,151,580,91,194,35,10,9,62,70,9,78,60,9,2,1,3,6,0.413273002
raineti01,1987,1,MON,NL,139,530,123,175,34,8,18,68,50,5,90,52,26,4,0,3,9,0.429027113
raineti01,1988,1,MON,NL,109,429,66,116,19,7,12,48,33,7,53,44,14,2,0,4,8,0.350409836
raineti01,1989,1,MON,NL,145,517,76,148,29,6,9,60,41,9,93,48,18,3,0,5,8,0.394822006
raineti01,1990,1,MON,NL,130,457,65,131,11,5,9,62,49,16,70,43,8,3,0,8,9,0.379182156
raineti01,1991,1,CHA,AL,155,609,102,163,20,6,5,50,51,15,83,68,9,5,9,3,7,0.358571429
raineti01,1992,1,CHA,AL,144,551,102,162,22,9,7,54,45,6,81,48,4,0,4,8,5,0.3796875
raineti01,1993,1,CHA,AL,115,415,75,127,16,4,16,54,21,7,64,35,4,3,2,2,7,0.400826446
raineti01,1994,1,CHA,AL,101,384,80,102,15,5,10,52,13,0,61,43,3,1,4,3,10,0.365256125
raineti01,1995,1,CHA,AL,133,502,81,143,25,4,12,67,13,2,70,52,3,3,3,3,8,0.373702422
raineti01,1996,1,NYA,AL,59,201,45,57,10,0,9,33,10,1,34,29,1,1,0,4,5,0.383333333
raineti01,1997,1,NYA,AL,74,271,56,87,20,2,4,38,8,5,41,34,0,0,0,6,4,0.402515723
raineti01,1998,1,NYA,AL,109,321,53,93,13,1,5,47,8,3,55,49,1,3,0,3,5,0.395287958
raineti01,1999,1,OAK,AL,58,135,20,29,5,0,4,17,4,1,26,17,1,0,1,2,5,0.337423313
raineti01,2001,2,MON/BAL,NL/AL,51,89,14,27,8,1,1,9,1,0,18,9,0,0,0,2,2,0.412844037
raineti01,2002,1,FLO,NL,98,89,9,17,3,0,1,7,0,0,22,19,4,1,0,2,3,0.350877193
